isJunction,isValid,locationType,stopDesc,stopId,stopLat,stopLon,stopName
N,Y,STOP,,2992,22.590786,88.414404,SECH  BHAVAN
N,Y,STOP,,2993,22.686888,88.445148,NEW BARRACKPORE STATION
N,Y,STOP,,2994,22.694373,88.404799,GHOLA BAZAR
N,Y,STOP,,2995,22.696575,88.392805,HB TOWN  (SODEPUR)
N,Y,STOP,,2996,22.699193,88.385235,SODEPUR STATION
N,Y,STOP,,2997,22.511341,88.345858,MUDIALI (PSC OFFICE) 
N,Y,STOP,,2998,22.612546,88.379817,PAIKPARA BUS STAND
N,Y,STOP,,2999,22.598745,88.413963,KWALITY
N,Y,STOP,,3000,22.491486,88.27119,SARADA PARK
N,Y,STOP,,3001,22.498765,88.248323,BANERJEEHAT
N,Y,STOP,,3002,22.484736,88.295653,RAIDIGHI
N,Y,STOP,,3003,22.473671,88.173871,CHARIAL MORE
N,Y,STOP,,3004,22.487438,88.187485,BUDGE BUDGE
N,Y,STOP,,3005,22.488186,88.202318,SHYAMPUR (BUDGE BUDGE)
N,Y,STOP,,3006,22.685365,88.375627,TETULTALA ( AGARPARA)
N,Y,STOP,,3007,22.682613,88.384666,AGARPARA STATION
N,Y,STOP,,3008,22.602387,88.376974,CANEL WEST RD. BUS STAND
N,Y,STOP,,3009,22.715362,88.491805,JAMTALA KALIKAPUR
N,Y,STOP,,3010,22.714937,88.501283,KAZIPARA (BARASAT)
N,Y,STOP,,3011,22.711334,88.516684,BAMANGACHI
N,Y,STOP,,3012,22.712104,88.513827,JDS COLLEGE
N,Y,STOP,,3013,22.697535,88.639075,KARTIK PUR
N,Y,STOP,,3014,22.698827,88.623255,BALIA GATE
N,Y,STOP,,3030,22.621261,88.438589,LOKENATH TEMPLE (RAJARHAT  RD)
N,Y,STOP,,3031,22.634093,88.453684,BABLATALA  (RAJARHAT RD )
N,Y,STOP,,3032,22.636119,88.454421,217B BUS STAND
N,Y,STOP,,3033,22.640736,88.457417,LALKUTHI (RAJARHAT)
N,Y,STOP,,3034,22.645219,88.461287,NARAYANPUR  BATTALA
N,Y,STOP,,3035,22.697733,88.610158,BELIAGHATA  (TAKI RD.)
N,Y,STOP,,3036,22.702514,88.574908,GOLABARI (TAKI  RD.)
N,Y,STOP,,3037,22.583462,88.379641,MANIKTALA  MAIN RD. XING
N,Y,STOP,,3038,22.525084,88.330894,ALIPORE COURT
N,Y,STOP,,3039,22.526605,88.346161,BHAWANIPUR  THANA
N,Y,STOP,,3040,22.514917,88.345813,PSC OFFICE
N,Y,STOP,,3043,21.719441,88.246034,DWARIKNAGAR (NAMKHANA)
N,Y,STOP,,3044,21.582407,88.261666,FRAZERGANJ
N,Y,STOP,,3045,22.157659,88.439273,NIMPITH
N,Y,STOP,,3046,22.076277,87.887898,HANSCHARA
N,Y,STOP,,3047,22.042372,87.903053,HOSPITAL MORE (NANDIGRAM RD.)
N,Y,STOP,,3048,22.177604,88.422238,JAYNAGAR POST OFFICE
N,Y,STOP,,3049,22.487215,88.332175,MUCHI PARA(RAJA RAMMOHAN ROY RD)
N,Y,STOP,,3050,22.488368,88.321044,PANCHANAN TALA(RAJA RAMMOHAN ROY RD)
Y,Y,TERMINAL,,3051,21.881158,88.165102,LOT 8 POINT
N,Y,STOP,,3052,22.274233,88.272422,RAMRUMPUR (USTHI)
N,Y,STOP,stop_desc,3053,22.259747,88.273008,ADHARMANIK
Y,Y,TERMINAL,Kachubaria Ferry Ghat,3054,21.859083,88.143309,Kachubaria Ferry Ghat
Y,Y,TERMINAL,,3055,22.574666,88.345024,MILLENIUM PARK FERRY GHAT
Y,Y,TERMINAL,,3056,22.582166,88.34412,HOWRAH FERRY GHAT
Y,Y,TERMINAL,,3057,22.576186,88.345533,FAIRLIE PLACE FERRY GHAT
Y,Y,TERMINAL,,3058,22.630214,88.358607,BELUR MATH FERRY GHAT
Y,Y,TERMINAL,,3059,22.635194,88.362723,KUTHI GHAT (BARANAGAR)
Y,Y,TERMINAL,,3060,22.653631,88.356903,MA BHABOTARINI FERRY GHAT (DAKSHINESHWAR)
Y,Y,TERMINAL,,3061,22.572682,88.3439,SHIPPING CORPORATION FERRY GHAT
Y,Y,TERMINAL,,3062,22.666695,88.357791,ARIADAHA FERRY GHAT
Y,Y,TERMINAL,,3063,22.551597,88.286062,BICHALI FERRY GHAT(METIABRUZ)
